date,customerId,paymentPeriod,loanAmount,currencyType,evaluationChannel,interest_rate
12/09/2022,CUS90838696560,60,40000,USD,WEB PAGE,0.18
12/09/2022,CUS77027384124,24,15000,USD,WEB PAGE,0.215
12/09/2022,CUS93720660660,60,52870,USD,WEB PAGE,0.135
12/09/2022,CUS44645003760,60,15000,USD,WEB PAGE,0.15
12/09/2022,CUS60523948560,60,38800,USD,WEB PAGE,0.109
12/09/2022,CUS87409144012,12,15500,USD,WEB PAGE,0.099
12/09/2022,CUS83174899360,60,100000,USD,WEB PAGE,0.105
12/09/2022,CUS43389336036,36,915.38,EUR,AGENCY,0.339
12/09/2022,CUS32430742860,60,72000,USD,WEB PAGE,0.125
12/09/2022,CUS65101249460,60,121100,USD,WEB PAGE,0.105
12/09/2022,CUS16250331960,60,45500,USD,CONTACT CENTER,0.14
12/09/2022,CUS85857093960,60,120000,USD,AGENCY,0.125
12/09/2022,CUS31018700960,60,72000,USD,WEB PAGE,0.125
12/09/2022,CUS89249283448,48,55200,USD,WEB PAGE,0.099
12/09/2022,CUS12217794848,48,30000,USD,WEB PAGE,0.109
12/09/2022,CUS40607339348,48,49000,USD,AGENCY,0.099
12/09/2022,CUS60471317948,48,49000,USD,AGENCY,0.099
12/09/2022,CUS30532352124,24,38790,USD,AGENCY,0.135
12/09/2022,CUS45588719824,24,38790,USD,WEB PAGE,0.109
12/09/2022,CUS83248702712,12,10000,USD,WEB PAGE,0.099
12/09/2022,CUS72064789860,60,30000,USD,AGENCY,0.105
12/09/2022,CUS24634075860,60,26490,USD,WEB PAGE,0.135
12/09/2022,CUS19941416360,60,30000,USD,WEB PAGE,0.105
12/09/2022,CUS78678599524,24,7000,USD,WEB PAGE,0.225
12/09/2022,CUS31956782260,60,30000,USD,WEB PAGE,0.105
12/09/2022,CUS38656562412,12,5000,USD,WEB PAGE,0.165
12/09/2022,CUS87431463960,60,78000,USD,AGENCY,0.135
12/09/2022,CUS11226370960,60,65000,USD,WEB PAGE,0.125
12/09/2022,CUS35965168548,48,25000,USD,AGENCY,0.19
12/09/2022,CUS86073864660,60,90200,USD,WEB PAGE,0.099
12/09/2022,CUS17614239624,24,20000,USD,WEB PAGE,0.099
12/09/2022,CUS36053998636,36,10000,USD,WEB PAGE,0.114
12/09/2022,CUS74046240212,12,15000,USD,WEB PAGE,0.195
12/09/2022,CUS89243839960,60,11000,USD,WEB PAGE,0.175
12/09/2022,CUS47722450560,60,150000,USD,WEB PAGE,0.19
12/09/2022,CUS98794335824,24,1500,USD,WEB PAGE,0.13
12/09/2022,CUS79065134148,48,30000,USD,WEB PAGE,0.18
12/09/2022,CUS57473504560,60,35000,USD,AGENCY,0.145
12/09/2022,CUS11474626936,36,12000,USD,WEB PAGE,0.13
12/09/2022,CUS42267592960,60,40800,USD,WEB PAGE,0.125
12/09/2022,CUS26689573748,48,30300,USD,WEB PAGE,0.115
12/09/2022,CUS24446061060,60,20000,USD,WEB PAGE,0.115
12/09/2022,CUS69231457760,60,25000,USD,WEB PAGE,0.145
12/09/2022,CUS75293261860,60,60000,USD,AGENCY,0.24
12/09/2022,CUS14554241024,24,4670,USD,WEB PAGE,0.145
12/09/2022,CUS91904573360,60,47100,USD,AGENCY,0.175
12/09/2022,CUS33031151724,24,3710,USD,WEB PAGE,0.135
12/09/2022,CUS61426737848,48,45000,USD,WEB PAGE,0.099
12/09/2022,CUS59861772312,12,6500,USD,WEB PAGE,0.18
12/09/2022,CUS87243272860,60,47500,USD,CONTACT CENTER,0.195
12/09/2022,CUS41612775112,12,5000,USD,AGENCY,0.15
12/09/2022,CUS90513998824,24,5000,USD,WEB PAGE,0.135
12/09/2022,CUS11896731760,60,51800,USD,AGENCY,0.125
12/09/2022,CUS97992305824,24,14003.5,USD,WEB PAGE,0.109
12/09/2022,CUS95299130960,60,35000,USD,WEB PAGE,0.099
12/09/2022,CUS78893035124,24,8000,USD,WEB PAGE,0.104
12/09/2022,CUS99225358660,60,12000,USD,WEB PAGE,0.099
12/09/2022,CUS25997667624,24,30000,USD,CONTACT CENTER,0.099
12/09/2022,CUS92378017060,60,25900,USD,WEB PAGE,0.105
12/09/2022,CUS84951316512,12,10600,USD,WEB PAGE,0.115
12/09/2022,CUS16764483560,60,124200,USD,WEB PAGE,0.14
12/09/2022,CUS94864099936,36,5000,USD,CONTACT CENTER,0.155
12/09/2022,CUS71316982336,36,50000,USD,WEB PAGE,0.105
12/09/2022,CUS67675647060,60,30000,USD,WEB PAGE,0.135
12/09/2022,CUS41820964360,60,100000,USD,AGENCY,0.135
12/09/2022,CUS53648996760,60,75000,USD,WEB PAGE,0.125
12/09/2022,CUS95032758560,60,12700,USD,AGENCY,0.099
12/09/2022,CUS30844181960,60,90000,USD,CONTACT CENTER,0.099
12/09/2022,CUS25279827836,36,20000,USD,AGENCY,0.13
12/09/2022,CUS68647541160,60,56000,USD,WEB PAGE,0.115
12/09/2022,CUS47463292136,36,25000,USD,WEB PAGE,0.195
12/09/2022,CUS13721792060,60,20000,USD,WEB PAGE,0.105
12/09/2022,CUS43894620560,60,30000,USD,AGENCY,0.18
12/09/2022,CUS57657224560,60,40000,USD,WEB PAGE,0.14
12/09/2022,CUS90587376360,60,10000,USD,WEB PAGE,0.115
12/09/2022,CUS99793485336,36,47302,USD,AGENCY,0.099
12/09/2022,CUS48294262024,24,22300,USD,WEB PAGE,0.145
12/09/2022,CUS86464759836,36,50000,USD,WEB PAGE,0.099
12/09/2022,CUS68979857460,60,8000,USD,WEB PAGE,0.105
12/09/2022,CUS79237113448,48,50000,USD,WEB PAGE,0.109
12/09/2022,CUS49193021648,48,10000,USD,WEB PAGE,0.115
12/09/2022,CUS11545474936,36,30000,USD,WEB PAGE,0.105
12/09/2022,CUS62247548512,12,3000,USD,WEB PAGE,0.165
12/09/2022,CUS31397740536,36,21125.01,USD,CONTACT CENTER,0.11
12/09/2022,CUS43412758736,36,15000,USD,WEB PAGE,0.13
12/09/2022,CUS93153426960,60,36000,USD,WEB PAGE,0.105
12/09/2022,CUS47386925124,24,6070,USD,WEB PAGE,0.165
12/09/2022,CUS80998499048,48,23000,USD,WEB PAGE,0.125
12/09/2022,CUS91113670848,48,15000,USD,AGENCY,0.185
12/09/2022,CUS38513420860,60,36633,USD,WEB PAGE,0.099
12/09/2022,CUS22542836336,36,41000,USD,AGENCY,0.135
12/09/2022,CUS63834191560,60,58500,USD,WEB PAGE,0.099
12/09/2022,CUS41071005924,24,3000,USD,WEB PAGE,0.099
12/09/2022,CUS59378017560,60,60000,USD,WEB PAGE,0.099
12/09/2022,CUS20612035436,36,9000,USD,WEB PAGE,0.099
12/09/2022,CUS16400585960,60,6000,USD,WEB PAGE,0.114
12/09/2022,CUS85642491560,60,35000,USD,WEB PAGE,0.119
12/09/2022,CUS66762828924,24,18975,USD,WEB PAGE,0.105
12/09/2022,CUS32286386760,60,108000,USD,AGENCY,0.135
12/09/2022,CUS29421456348,48,35900,USD,WEB PAGE,0.099
12/09/2022,CUS93352853060,60,123200,USD,WEB PAGE,0.099
12/09/2022,CUS45071254448,48,30000,USD,WEB PAGE,0.099
12/09/2022,CUS63334812660,60,60000,USD,WEB PAGE,0.099
12/09/2022,CUS13232639148,48,15000,USD,WEB PAGE,0.099
12/09/2022,CUS14829153660,60,97000,USD,WEB PAGE,0.099
12/09/2022,CUS92636236760,60,58865,USD,WEB PAGE,0.099
12/09/2022,CUS62711480060,60,58000,USD,WEB PAGE,0.105
12/09/2022,CUS95517259136,36,12892,USD,MAIL OFFER,0.125
12/09/2022,CUS36178845924,24,15000,USD,WEB PAGE,0.155
12/09/2022,CUS68284231360,60,72916.47,USD,AGENCY,0.145
12/09/2022,CUS82726370060,60,104500,USD,WEB PAGE,0.145
12/09/2022,CUS16342253560,60,30000,USD,AGENCY,0.15
12/09/2022,CUS25554742860,60,49700,USD,AGENCY,0.165
12/09/2022,CUS96177429724,24,32962,USD,WEB PAGE,0.125
12/09/2022,CUS27628861860,60,34200,USD,AGENCY,0.135
12/09/2022,CUS99032002336,36,32962,USD,WEB PAGE,0.12
12/09/2022,CUS85293787336,36,30000,USD,WEB PAGE,0.105
12/09/2022,CUS20006083360,60,26300,USD,AGENCY,0.17
12/09/2022,CUS86932265460,60,21000,USD,WEB PAGE,0.13
12/09/2022,CUS42386028960,60,135600,USD,AGENCY,0.135
12/09/2022,CUS39013811712,12,25000,USD,WEB PAGE,0.12
12/09/2022,CUS97865348848,48,48580,USD,WEB PAGE,0.099
12/09/2022,CUS71768101060,60,34000,USD,WEB PAGE,0.099
12/09/2022,CUS63950259760,60,35526,USD,WEB PAGE,0.109
12/09/2022,CUS82076429360,60,140000,USD,CONTACT CENTER,0.12
12/09/2022,CUS50627593824,24,25000,USD,WEB PAGE,0.105
12/09/2022,CUS79524999036,36,29900,USD,WEB PAGE,0.115
12/09/2022,CUS99054649360,60,120500,USD,AGENCY,0.115
12/09/2022,CUS80986653860,60,37000,USD,WEB PAGE,0.125
12/09/2022,CUS73299320924,24,28000,USD,WEB PAGE,0.13
12/09/2022,CUS46505282060,60,8100,USD,WEB PAGE,0.2
12/09/2022,CUS55884915236,36,22000,USD,WEB PAGE,0.175
12/09/2022,CUS52285592436,36,27000,USD,WEB PAGE,0.13
12/09/2022,CUS41344723424,24,21000,USD,AGENCY,0.22
12/09/2022,CUS60748107348,48,24073.41,USD,WEB PAGE,0.18
12/09/2022,CUS59010682460,60,29000,USD,WEB PAGE,0.135
12/09/2022,CUS87180235660,60,41500,USD,WEB PAGE,0.18
12/09/2022,CUS11523014760,60,93400,USD,WEB PAGE,0.105
12/09/2022,CUS45019582360,60,35000,USD,WEB PAGE,0.099
12/09/2022,CUS91007003848,48,17200,USD,WEB PAGE,0.099
12/09/2022,CUS95357532060,60,44875,USD,WEB PAGE,0.099
12/09/2022,CUS42791518236,36,56000,USD,WEB PAGE,0.099
12/09/2022,CUS95400907760,60,35000,USD,CONTACT CENTER,0.099
12/09/2022,CUS69744806648,48,32000,USD,WEB PAGE,0.099
12/09/2022,CUS76442248560,60,57935,USD,WEB PAGE,0.099
12/09/2022,CUS79001549160,60,150000,USD,WEB PAGE,0.099
12/09/2022,CUS81042096836,36,15000,USD,WEB PAGE,0.125
12/09/2022,CUS48543041912,12,10000,USD,AGENCY,0.105
12/09/2022,CUS34231044012,12,10000,USD,AGENCY,0.105
12/09/2022,CUS39214757424,24,10000,USD,WEB PAGE,0.105
12/09/2022,CUS91848949760,60,50000,USD,WEB PAGE,0.125
12/09/2022,CUS38203760760,60,21200,USD,WEB PAGE,0.125
12/09/2022,CUS23431233636,36,6000,USD,WEB PAGE,0.115
12/09/2022,CUS18678932860,60,87200,USD,AGENCY,0.15
12/09/2022,CUS31469321236,36,53821.89,USD,AGENCY,0.18
12/09/2022,CUS25424959160,60,58243.68,USD,WEB PAGE,0.17
12/09/2022,CUS81872937324,24,10000,USD,WEB PAGE,0.125
12/09/2022,CUS31755266260,60,50000,USD,WEB PAGE,0.135
12/09/2022,CUS23570480060,60,15000,USD,WEB PAGE,0.145
12/09/2022,CUS93326850748,48,78000,USD,WEB PAGE,0.125
12/09/2022,CUS35581355736,36,60000,USD,WEB PAGE,0.13
12/09/2022,CUS47234136836,36,22000,USD,WEB PAGE,0.099
12/09/2022,CUS81483124660,60,19000,USD,WEB PAGE,0.119
12/09/2022,CUS22728213336,36,10000,USD,WEB PAGE,0.099
12/09/2022,CUS19426903448,48,30000,USD,WEB PAGE,0.099
12/09/2022,CUS62541807036,36,138000,USD,AGENCY,0.115
12/09/2022,CUS15328285560,60,30000,USD,WEB PAGE,0.115
12/09/2022,CUS66308973436,36,7500,USD,WEB PAGE,0.105
12/09/2022,CUS68067954324,24,99400,USD,AGENCY,0.115
12/09/2022,CUS31101298760,60,34400,USD,WEB PAGE,0.105
12/09/2022,CUS49700571912,12,2000,USD,WEB PAGE,0.165
12/09/2022,CUS69368189036,36,27200,USD,WEB PAGE,0.18
12/09/2022,CUS75491594060,60,60000,USD,AGENCY,0.125
12/09/2022,CUS87962068136,36,15000,USD,WEB PAGE,0.125
12/09/2022,CUS65141014036,36,10000,USD,WEB PAGE,0.185
12/09/2022,CUS62228970636,36,80000,USD,WEB PAGE,0.11
12/09/2022,CUS34105229636,36,24003.5,USD,CONTACT CENTER,0.099
12/09/2022,CUS68744550760,60,48800,USD,WEB PAGE,0.099
12/09/2022,CUS77267067724,24,10000,USD,AGENCY,0.099
12/09/2022,CUS98599106136,36,30000,USD,WEB PAGE,0.18
12/09/2022,CUS39395104660,60,28100,USD,WEB PAGE,0.155
12/09/2022,CUS18946463860,60,30000,USD,WEB PAGE,0.13
12/09/2022,CUS11421444260,60,47000,USD,WEB PAGE,0.17
12/09/2022,CUS31598915360,60,60000,USD,WEB PAGE,0.13
12/09/2022,CUS14233557460,60,90000,USD,AGENCY,0.099
12/09/2022,CUS30302811560,60,90000,USD,AGENCY,0.099
12/09/2022,CUS45677775060,60,84820.34,USD,WEB PAGE,0.099
12/09/2022,CUS57720414260,60,90000,USD,WEB PAGE,0.109
12/09/2022,CUS28040470812,12,5500,USD,WEB PAGE,0.099
12/09/2022,CUS68414659636,36,20000,USD,AGENCY,0.125
12/09/2022,CUS75451294060,60,100900,USD,WEB PAGE,0.105
12/09/2022,CUS45392647524,24,90.16,USD,AGENCY,0.339
12/09/2022,CUS35804338336,36,10000,USD,WEB PAGE,0.165
12/09/2022,CUS67046580236,36,30000,USD,WEB PAGE,0.16
12/09/2022,CUS32814824824,24,30000,USD,WEB PAGE,0.17
12/09/2022,CUS57892606860,60,50000,USD,WEB PAGE,0.109
12/09/2022,CUS50911768224,24,20000,USD,WEB PAGE,0.104
12/09/2022,CUS30317417524,24,21500,USD,WEB PAGE,0.099
12/09/2022,CUS43559349460,60,140000,USD,AGENCY,0.119
12/09/2022,CUS12456369960,60,20087.94,USD,WEB PAGE,0.099
12/09/2022,CUS96995004948,48,25000,USD,CONTACT CENTER,0.109
12/09/2022,CUS39658046160,60,30537,USD,WEB PAGE,0.099
12/09/2022,CUS12947401260,60,20000,USD,WEB PAGE,0.135
12/09/2022,CUS89525529712,12,10000,USD,WEB PAGE,0.18
12/09/2022,CUS78134447860,60,45000,USD,CONTACT CENTER,0.16
12/09/2022,CUS41400949360,60,140000,USD,WEB PAGE,0.14
12/09/2022,CUS80866529436,36,30000,USD,WEB PAGE,0.135
12/09/2022,CUS76229435760,60,21253,USD,WEB PAGE,0.135
12/09/2022,CUS44880541960,60,20000,USD,WEB PAGE,0.12
12/09/2022,CUS57635829760,60,30000,USD,WEB PAGE,0.13
12/09/2022,CUS31549237360,60,103000,USD,WEB PAGE,0.099
12/09/2022,CUS93424516560,60,50000,USD,WEB PAGE,0.099
12/09/2022,CUS20542168136,36,21500,USD,WEB PAGE,0.11
12/09/2022,CUS77898102760,60,120000,USD,AGENCY,0.185
12/09/2022,CUS84079399148,48,15000,USD,AGENCY,0.165
12/09/2022,CUS56679247760,60,23000,USD,WEB PAGE,0.165
12/09/2022,CUS96396064660,60,70000,USD,WEB PAGE,0.125
12/09/2022,CUS89949152660,60,70000,USD,AGENCY,0.125
12/09/2022,CUS75022546848,48,25500,USD,WEB PAGE,0.099
12/09/2022,CUS72869342848,48,19000,USD,WEB PAGE,0.099
12/09/2022,CUS61415871860,60,42925,USD,WEB PAGE,0.099
12/09/2022,CUS46283454548,48,13000,USD,WEB PAGE,0.099
12/09/2022,CUS34939275560,60,30000,USD,WEB PAGE,0.099
12/09/2022,CUS56037925760,60,50400,USD,AGENCY,0.145
12/09/2022,CUS49725780136,36,10000,USD,WEB PAGE,0.18
12/09/2022,CUS22177974360,60,100000,USD,AGENCY,0.18
12/09/2022,CUS85467227960,60,5582,USD,WEB PAGE,0.165
12/09/2022,CUS75568222748,48,17000,USD,WEB PAGE,0.125
12/09/2022,CUS61445595160,60,130000,USD,AGENCY,0.135
12/09/2022,CUS74418481748,48,34680,USD,WEB PAGE,0.099
12/09/2022,CUS72130611660,60,80000,USD,AGENCY,0.15
12/09/2022,CUS49545877024,24,20700,USD,AGENCY,0.105
12/09/2022,CUS58021132924,24,20700,USD,WEB PAGE,0.105
12/09/2022,CUS42731863060,60,76100,USD,AGENCY,0.115
12/09/2022,CUS47466709648,48,28800,USD,WEB PAGE,0.135
12/09/2022,CUS17284150636,36,20000,USD,WEB PAGE,0.099
12/09/2022,CUS71622265948,48,50000,USD,AGENCY,0.099
12/09/2022,CUS41872464048,48,48380,USD,WEB PAGE,0.099
12/09/2022,CUS91947312036,36,10500,USD,WEB PAGE,0.105
12/09/2022,CUS33092594960,60,20500,USD,AGENCY,0.115
12/09/2022,CUS90061814960,60,41600,USD,AGENCY,0.105
12/09/2022,CUS93057663648,48,36000,USD,WEB PAGE,0.105
12/09/2022,CUS90023481036,36,20500,USD,WEB PAGE,0.125
12/09/2022,CUS98427684460,60,91100,USD,AGENCY,0.125
12/09/2022,CUS98346299860,60,47000,USD,WEB PAGE,0.1
12/09/2022,CUS48893747048,48,90000,USD,WEB PAGE,0.115
12/09/2022,CUS89879052360,60,17500,USD,AGENCY,0.145
12/09/2022,CUS39329340348,48,15000,USD,WEB PAGE,0.135
12/09/2022,CUS47109125436,36,20200,USD,WEB PAGE,0.135
12/09/2022,CUS19921843660,60,26918,USD,WEB PAGE,0.12
12/09/2022,CUS71249743836,36,14950,USD,WEB PAGE,0.099
12/09/2022,CUS91462964436,36,35000,USD,WEB PAGE,0.099
12/09/2022,CUS51820015812,12,13000,USD,WEB PAGE,0.099
12/09/2022,CUS23580655960,60,55000,USD,WEB PAGE,0.099
12/09/2022,CUS50997206360,60,53000,USD,WEB PAGE,0.115
12/09/2022,CUS93503591336,36,5000,USD,WEB PAGE,0.145
12/09/2022,CUS15109823860,60,46000,USD,WEB PAGE,0.13
12/09/2022,CUS29543302260,60,60000,USD,WEB PAGE,0.13
12/09/2022,CUS22810799760,60,60000,USD,WEB PAGE,0.109
12/09/2022,CUS84320959548,48,102000,USD,WEB PAGE,0.125
12/09/2022,CUS97099836560,60,30000,USD,WEB PAGE,0.13
12/09/2022,CUS21036668048,48,80000,USD,WEB PAGE,0.125
12/09/2022,CUS11546248524,24,13000,USD,WEB PAGE,0.099
12/09/2022,CUS59080870960,60,70000,USD,WEB PAGE,0.119
12/09/2022,CUS93642805024,24,16000,USD,WEB PAGE,0.099
12/09/2022,CUS47763506460,60,40000,USD,WEB PAGE,0.099
12/09/2022,CUS52238869448,48,28300,USD,WEB PAGE,0.099
12/09/2022,CUS15429767060,60,13500,USD,WEB PAGE,0.119
12/09/2022,CUS60283264648,48,54000,USD,WEB PAGE,0.099
12/09/2022,CUS47874004736,36,10000,USD,AGENCY,0.115
12/09/2022,CUS81349850860,60,8600,USD,WEB PAGE,0.12
12/09/2022,CUS23714387160,60,20000,USD,WEB PAGE,0.155
12/09/2022,CUS20420071548,48,80000,USD,WEB PAGE,0.16
12/09/2022,CUS82663123960,60,13853,USD,WEB PAGE,0.19
12/09/2022,CUS96857302448,48,39900,USD,CONTACT CENTER,0.1
12/09/2022,CUS16159282648,48,10000,USD,WEB PAGE,0.15
12/09/2022,CUS42283432048,48,50653,USD,WEB PAGE,0.099
12/09/2022,CUS23587149136,36,32000,USD,WEB PAGE,0.099
12/09/2022,CUS22909173648,48,19500,USD,WEB PAGE,0.115
12/09/2022,CUS42987482660,60,94300,USD,WEB PAGE,0.115
12/09/2022,CUS99605973960,60,30000,USD,WEB PAGE,0.105
12/09/2022,CUS50180636048,48,30000,USD,WEB PAGE,0.15
12/09/2022,CUS82959981048,48,8350,USD,WEB PAGE,0.165
12/09/2022,CUS80466146160,60,85000,USD,AGENCY,0.12
12/09/2022,CUS18460081848,48,12010,USD,WEB PAGE,0.099
12/09/2022,CUS35927107024,24,5000,USD,WEB PAGE,0.099
12/09/2022,CUS39957366748,48,11500,USD,WEB PAGE,0.099
12/09/2022,CUS38185006460,60,120000,USD,WEB PAGE,0.099
12/09/2022,CUS27995731460,60,37000,USD,WEB PAGE,0.099
12/09/2022,CUS49442683760,60,20000,USD,WEB PAGE,0.099
12/09/2022,CUS78528419660,60,26700,USD,AGENCY,0.115
12/09/2022,CUS86548753936,36,11509,USD,WEB PAGE,0.1
12/09/2022,CUS93833083524,24,15000,USD,WEB PAGE,0.13
12/09/2022,CUS20191329260,60,80000,USD,WEB PAGE,0.11
12/09/2022,CUS64059098236,36,88300,USD,AGENCY,0.1
12/09/2022,CUS27874777836,36,20000,USD,WEB PAGE,0.13
12/09/2022,CUS85621450436,36,10000,USD,WEB PAGE,0.13
12/09/2022,CUS33399691824,24,30000,USD,WEB PAGE,0.13
12/09/2022,CUS56780061960,60,22192.37,USD,AGENCY,0.115
12/09/2022,CUS51751587560,60,140000,USD,AGENCY,0.105
12/09/2022,CUS32910340236,36,35330,USD,WEB PAGE,0.11
12/09/2022,CUS97680712160,60,60000,USD,WEB PAGE,0.155
12/09/2022,CUS92033252736,36,50000,USD,WEB PAGE,0.15
12/09/2022,CUS13062790960,60,140000,USD,AGENCY,0.15
12/09/2022,CUS23712063760,60,17650,USD,WEB PAGE,0.105
12/09/2022,CUS71556944524,24,9716,USD,WEB PAGE,0.13
12/09/2022,CUS24809323512,12,9770,USD,WEB PAGE,0.135
12/09/2022,CUS75944076960,60,48200,USD,WEB PAGE,0.099
12/09/2022,CUS13237528036,36,19640,USD,WEB PAGE,0.099
12/09/2022,CUS93846251136,36,30280,USD,AGENCY,0.105
12/09/2022,CUS31519801160,60,50000,USD,WEB PAGE,0.105
12/09/2022,CUS52542337812,12,24771,USD,WEB PAGE,0.13
12/09/2022,CUS30926242748,48,17000,USD,WEB PAGE,0.155
12/09/2022,CUS75592119012,12,15000,USD,AGENCY,0.165
12/09/2022,CUS18110293460,60,70000,USD,CONTACT CENTER,0.11
12/09/2022,CUS64020484360,60,65000,USD,WEB PAGE,0.125
12/09/2022,CUS57635749660,60,130000,USD,AGENCY,0.13
12/09/2022,CUS47949000560,60,35400,USD,WEB PAGE,0.099
12/09/2022,CUS19351375912,12,6003.5,USD,WEB PAGE,0.115
12/09/2022,CUS30421748560,60,93400,USD,WEB PAGE,0.18
12/09/2022,CUS14615150960,60,60827.9,USD,AGENCY,0.18
12/09/2022,CUS12675659312,12,7000,USD,WEB PAGE,0.125
12/09/2022,CUS84894706424,24,8000,USD,WEB PAGE,0.145
12/09/2022,CUS98314801560,60,58871,USD,WEB PAGE,0.13
12/09/2022,CUS57179238460,60,21000,USD,AGENCY,0.14
12/09/2022,CUS28337771236,36,5000,USD,WEB PAGE,0.105
12/09/2022,CUS65482205060,60,82400,USD,WEB PAGE,0.145
12/09/2022,CUS64605654836,36,17200,USD,WEB PAGE,0.099
12/09/2022,CUS65287935860,60,21777,USD,WEB PAGE,0.099
12/09/2022,CUS95130635060,60,57200,USD,WEB PAGE,0.155
12/09/2022,CUS69406623360,60,120000,USD,AGENCY,0.155
12/09/2022,CUS35630922560,60,75000,USD,WEB PAGE,0.16
12/09/2022,CUS59567844360,60,61600,USD,WEB PAGE,0.099
12/09/2022,CUS48418498860,60,43705,USD,WEB PAGE,0.099
12/09/2022,CUS41819571160,60,10000,USD,WEB PAGE,0.115
12/09/2022,CUS35863683060,60,15000,USD,WEB PAGE,0.115
12/09/2022,CUS39627526124,24,15000,USD,WEB PAGE,0.135
12/09/2022,CUS34579945624,24,10000,USD,WEB PAGE,0.165
12/09/2022,CUS94086357460,60,52300,USD,AGENCY,0.105
12/09/2022,CUS42587718336,36,21200,USD,WEB PAGE,0.099
12/09/2022,CUS98992049060,60,90000,USD,WEB PAGE,0.125
12/09/2022,CUS73564839812,12,3000,USD,WEB PAGE,0.14
12/09/2022,CUS62436818660,60,20000,USD,WEB PAGE,0.12
12/09/2022,CUS16074459712,12,6000,USD,AGENCY,0.125
12/09/2022,CUS28137034512,12,8000,USD,WEB PAGE,0.13
12/09/2022,CUS99910596660,60,83121.9,USD,CONTACT CENTER,0.11
12/09/2022,CUS67083815560,60,50000,USD,AGENCY,0.105
12/09/2022,CUS75634684448,48,57145,USD,WEB PAGE,0.099
12/09/2022,CUS13394803348,48,34000,USD,CONTACT CENTER,0.119
12/09/2022,CUS61622172660,60,140000,USD,CONTACT CENTER,0.099
12/09/2022,CUS82814975648,48,10000,USD,WEB PAGE,0.125
12/09/2022,CUS78091623724,24,24200,USD,AGENCY,0.099
12/09/2022,CUS25719484960,60,48800,USD,WEB PAGE,0.105
12/09/2022,CUS70829634060,60,25000,USD,WEB PAGE,0.13
12/09/2022,CUS57864317660,60,80000,USD,AGENCY,0.125
12/09/2022,CUS69715440160,60,113000,USD,AGENCY,0.145
12/09/2022,CUS93983407724,24,4000,USD,WEB PAGE,0.13
12/09/2022,CUS43057820348,48,15000,USD,WEB PAGE,0.145
12/09/2022,CUS28164158136,36,44000,USD,WEB PAGE,0.18
12/09/2022,CUS45015691124,24,9129,USD,WEB PAGE,0.19
12/09/2022,CUS34727246660,60,43586,USD,WEB PAGE,0.155
12/09/2022,CUS34750254960,60,56650,USD,WEB PAGE,0.135
12/09/2022,CUS38701035960,60,92874.28,USD,AGENCY,0.099
12/09/2022,CUS78460217624,24,28300,USD,WEB PAGE,0.099
12/09/2022,CUS91063022860,60,24000,USD,WEB PAGE,0.105
12/09/2022,CUS16689531760,60,53700,USD,AGENCY,0.105
12/09/2022,CUS33213757960,60,38800,USD,WEB PAGE,0.115
12/09/2022,CUS32648017248,48,30000,USD,WEB PAGE,0.099
12/09/2022,CUS55186296548,48,22473,USD,WEB PAGE,0.099
12/09/2022,CUS36441428024,24,20000,USD,WEB PAGE,0.115
12/09/2022,CUS25466842524,24,11000,USD,WEB PAGE,0.115
12/09/2022,CUS39050458524,24,8500,USD,WEB PAGE,0.13
12/09/2022,CUS66508246048,48,36300,USD,WEB PAGE,0.119
12/09/2022,CUS24239668748,48,55000,USD,WEB PAGE,0.119
12/09/2022,CUS90859869036,36,65200,USD,WEB PAGE,0.115
12/09/2022,CUS50129809260,60,60000,USD,WEB PAGE,0.125
12/09/2022,CUS75891864112,12,4500,USD,AGENCY,0.125
12/09/2022,CUS18157276060,60,54000,USD,WEB PAGE,0.115
12/09/2022,CUS82286623360,60,100000,USD,WEB PAGE,0.1
12/09/2022,CUS13306960160,60,30000,USD,WEB PAGE,0.145
12/09/2022,CUS94981252524,24,6000,USD,WEB PAGE,0.145
12/09/2022,CUS62468960248,48,18000,USD,WEB PAGE,0.135
12/09/2022,CUS99808277024,24,12000,USD,WEB PAGE,0.135
12/09/2022,CUS23677207136,36,7000,USD,WEB PAGE,0.13
12/09/2022,CUS89421015060,60,35900,USD,WEB PAGE,0.115
12/09/2022,CUS88039530936,36,25600,USD,WEB PAGE,0.14
12/09/2022,CUS98423501936,36,15000,USD,WEB PAGE,0.155
12/09/2022,CUS38637829624,24,5000,USD,CONTACT CENTER,0.18
12/09/2022,CUS73111316536,36,10000,USD,WEB PAGE,0.155
12/09/2022,CUS13954718748,48,30000,USD,WEB PAGE,0.16
12/09/2022,CUS13332994624,24,23700,USD,WEB PAGE,0.125
12/09/2022,CUS32462970848,48,30000,USD,WEB PAGE,0.099
12/09/2022,CUS81262278760,60,24000,USD,WEB PAGE,0.099
12/09/2022,CUS92410423060,60,140000,USD,WEB PAGE,0.119
12/09/2022,CUS76969004348,48,22000,USD,WEB PAGE,0.099
12/09/2022,CUS54385064036,36,12000,USD,AGENCY,0.105
12/09/2022,CUS70059804712,12,3000,USD,WEB PAGE,0.165
12/09/2022,CUS31687475648,48,11000,USD,WEB PAGE,0.125
12/09/2022,CUS68426583812,12,7000,USD,WEB PAGE,0.099
12/09/2022,CUS12749680360,60,100000,USD,AGENCY,0.099
12/09/2022,CUS86057173636,36,41000,USD,WEB PAGE,0.099
